Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.868319392,7.234964017,10.02650752,10.6347326,27.8500354,27.40759482,22.83981828,22.10376838,20.79719687,20.04099544,19.43803113,19.31197116,19.62153398,19.65258865,25.5476788,25.38248972,24.9755145,24.90906561,24.51054263,24.964531,24.76670634,25.61371495,24.75013321,24.87670585,24.18270225,23.9224121,12.71361324,8.515395303,,,
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.374494942,6.616353766,7.145696603,7.576446281,8.001433893,8.018180706,7.73765678,7.484094812,7.159140446,7.208828523,7.088127747,6.553476545,6.350868305,6.296124556,6.049172848,6.12477049,5.96868547,6.195193908,6.473847856,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.046067875,0.053614943,0.073781338,0.074251368,0.086316543,0.101498607,0.10767397,0.123782381,0.115547383,0.086862817,0.150358548,0.166114846,0.130820142,0.136339954,0.155725123,0.169027082,0.154895026,0.183118308,0.163346971,0.168673488,0.133230271,0.152639744,0.165879122,0.205462699,0.237642948,0.301734199,0.274729698,0.275560305,0.252079156,0.239131208,0.216660935,0.190670396,0.101374764,0.090782199,0.08156608,0.074116045,0.067333284,0.060797665,0.056258495,0.043144757,0.039272122,0.031077543,0.041129229,0.045618839,0.040415279,0.054403968,0.065524747,0.087857642,0.158961558,0.24907353,0.302936388,0.425262105,0.688083613,0.693183411,,,
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.104357101,0.084718406,0.216025343,0.206877061,0.216174133,0.206088959,0.265164146,0.166658589,0.275655471,0.451125604,0.568588577,0.529744961,0.684120294,0.723055043,0.703873436,0.621198891,0.450116912,0.471248794,0.701359921,0.692097154,0.651061684,0.621382804,0.527930763,0.560374447,0.530351031,0.482400531,0.464973712,0.565431153,0.486503528,0.462907837,0.459698487,0.443664509,0.438530823,0.47159516,0.307601078,0.841494446,0.779026419,0.5348313,0.515117027,0.627072296,0.633625299,0.625351712,0.786223278,0.543083667,1.086604897,1.069417185,1.200877147,1.311096483,1.295686513,1.354388572,1.369338878,1.382752197,1.472255038,1.384496389,,,
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.258194928,1.374186047,1.439955964,1.181681144,1.11174196,1.166099043,1.333055465,1.3637463,1.519551277,1.558967572,1.753239905,1.989497923,2.515914398,2.303897417,1.849006691,1.910633637,2.013584562,2.275876391,2.53062504,2.898208518,1.93505831,2.693023914,2.624856785,2.683239919,2.694291374,2.658015382,2.665356221,2.414060815,2.331598531,2.783243075,1.61562396,1.3122126,0.774724911,0.723790292,0.600203708,0.654537133,0.636625313,0.49036506,0.560271437,0.960164412,0.978174681,1.053304176,1.229540709,1.412697196,1.376212735,1.412498211,1.302576367,1.322334855,1.484311139,1.495600199,1.578573584,1.803972418,1.624721963,1.662184826,,,
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.643653968,0.685239515,0.760995979,0.875115943,0.999349104,1.166167074,1.273495287,1.332808997,1.547333103,1.793679507,1.806100372,2.00030306,2.118560827,2.408185561,2.285441643,2.196683941,2.583999864,2.64765357,2.760212509,2.860730158,3.089685209,2.927719492,2.721730956,2.81635883,2.983264569,3.064702126,3.288348347,3.203022802,3.302058768,3.265899301,3.181512465,3.259223489,3.454857755,3.695263297,3.710658999,3.45213271,3.345973578,3.156188263,3.359648211,3.339176604,3.717558298,3.622621707,3.623299303,3.817041557,4.091218773,4.205578036,4.304892216,4.136145355,4.426907503,4.588609659,4.67250581,4.578348762,4.865849838,4.700368864,,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.118785902,0.108936971,0.16335531,0.175712369,0.132650846,0.146369696,0.159358568,5.336736892,6.708216413,99.84043878,64.76288896,76.98887556,72.37388334,80.01204473,69.31589696,58.48397881,63.74279762,53.65693112,54.16332122,39.47756127,36.29532578,33.7176354,31.82772295,29.011557,36.23813266,36.97051612,33.01855443,31.39781737,29.96939719,31.8249004,28.71116029,29.79884329,28.79455913,31.00779092,32.67283286,30.05758168,16.63855671,16.04724031,29.81063074,27.17395364,36.90410107,31.51609903,24.95655145,29.4670889,28.48143699,25.91458723,23.95451916,22.56662318,22.80455054,21.79758347,19.30650404,18.27009182,19.25222289,18.70823579,,,
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.367473032,2.442615665,2.522392105,2.316355797,2.53837965,2.641714463,2.792653923,2.858162546,2.969855218,3.275850301,3.451159222,3.650078169,3.637858366,3.730791118,3.726699112,3.641822498,3.768773931,3.749871115,3.762750231,3.998733697,3.86885293,3.574967612,3.567086543,3.572041973,3.560142178,3.310327288,3.377245218,3.669168725,3.820445808,3.629202129,3.440710803,3.525383685,3.608582241,3.477160476,3.569365678,3.656645164,3.811457178,3.851203125,3.857872193,4.010700295,3.835573562,3.56859739,3.291541393,3.525575435,4.069049764,4.141236496,4.434837147,4.382704081,4.682973741,4.410972709,4.558611742,4.60043018,4.569635239,4.46229798,,,
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.599895579,0.758500602,0.822581425,1.058059868,0.807718159,1.030800739,1.080206993,0.974288743,1.126529454,1.15760795,0.998805808,1.1291735,1.20456698,1.443730955,1.459636908,1.694755259,1.868611029,1.469960972,1.422998378,1.656830697,1.912089591,1.837058919,,,
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
